	onset	duration	value	bodySite	temperature	condition	keys	rt	phase	biopacCode	biopac_channel
0	0.03993589989840984	0.471724989823997	-8			ComfortRating					41.0
1	0.5527728998567909	0.46424592030234635	-9			ValenceRating					39.0
2	1.047418899834156	0.4751966898329556	68			IntensityRating					41.0
3	1.5684199000243098	0.46645052009262145	16			AvoidanceRating					200.0
4	2.062692399835214	0.477670090040192	45			RelaxationRating					201.0
5	2.583832799922675	0.46873819013126194	56			AttentionRating					202.0
6	3.095642799977213	0.46165499021299183	71			BoredomRating					203.0
7	3.5988419000059366	0.47189389006234705	50			AlertnessRating					204.0
8	4.115854599978775	0.47146679018624127	78			PosThxRating					205.0
9	4.633516700007021	0.4695164898876101	65			NegThxRating					206.0
10	5.147471399977803	0.47481109015643597	-83			SelfRating					207.0
11	5.666325099999085	0.47049129009246826	59			OtherRating					208.0
12	6.183342899894342	0.4698644899763167	18			ImageryRating					205.0
13	6.704091499792412	0.46168982004746795	36			PresentRating					210.0
