	onset	duration	value	bodySite	temperature	condition	keys	rt	phase	biopacCode	biopac_channel
0	0.04068060009740293	0.4698727901559323	-52			ComfortRating					41.0
1	0.5523763000965118	0.46433602017350495	-19			ValenceRating					39.0
2	1.0475139000918716	0.47429409017786384	100			IntensityRating					41.0
3	1.567415399942547	0.46784608997404575	-100			AvoidanceRating					200.0
4	2.0784197000321	0.46227789018303156	-22			RelaxationRating					201.0
5	2.58560170000419	0.4645125202368945	-68			AttentionRating					202.0
6	3.07916700001806	0.4774277899414301	-33			BoredomRating					203.0
7	3.5970445999410003	0.47499288991093636	19			AlertnessRating					204.0
8	4.1169400999788195	0.46869229013100266	-11			PosThxRating					205.0
9	4.632080600131303	0.47175849019549787	52			NegThxRating					206.0
10	5.148275499930605	0.4725786899216473	-34			SelfRating					207.0
11	5.664524300023913	0.4736080898437649	79			OtherRating					208.0
12	6.185130500001833	0.4658083200920373	-13			ImageryRating					205.0
13	6.687088000122458	0.461774320108816	47			PresentRating					210.0
