	onset	duration	value	bodySite	temperature	condition	keys	rt	phase	biopacCode	biopac_channel
0	0.042493100045248866	0.46633889013901353	-33			ComfortRating					41.0
1	0.5543571000453085	0.4772027200087905	-18			ValenceRating					39.0
2	1.064637300092727	0.47330969013273716	39			IntensityRating					41.0
3	1.5843023001216352	0.4672062899917364	97			AvoidanceRating					200.0
4	2.0951183999422938	0.4622999900020659	51			RelaxationRating					201.0
5	2.600269200047478	0.4687848899047822	96			AttentionRating					202.0
6	3.112152500078082	0.46157409017905593	-4			BoredomRating					203.0
7	3.614046199945733	0.47448749002069235	-3			AlertnessRating					204.0
8	4.13236610009335	0.4713248899206519	36			PosThxRating					205.0
9	4.648914899909869	0.47162759001366794	72			NegThxRating					206.0
10	5.165150299901143	0.47238438995555043	-79			SelfRating					207.0
11	5.681816600030288	0.47224819008260965	-20			OtherRating					208.0
12	6.200831100111827	0.46756749018095434	-20			ImageryRating					205.0
13	6.72072169999592	0.47781482012942433	-62			PresentRating					210.0
